video_id,start_time_seconds,end_time_seconds,labels
wqoOX8K8DEU,30.0,40.0,[388]
wqH6Sj_h948,120.0,130.0,"[0, 441]"
wq1098my4zA,130.0,140.0,"[137, 27, 271]"
wqR7LHho-WE,10.0,20.0,"[0, 25, 22]"
wq6Me-UUbSc,360.0,370.0,[404]
T9SfXoYuvpo,40.0,50.0,"[8, 66, 69]"
T9fk99yqwN4,110.0,120.0,[137]
T9g_TdQejv8,30.0,40.0,"[0, 137, 253]"
T9VMZwKmO4A,30.0,40.0,"[137, 239]"
T9hK44Ki8_A,30.0,40.0,"[137, 219]"
qGyGTzix_Nk,20.0,30.0,"[0, 137, 72, 510]"
qGA5zexuFY0,160.0,170.0,"[0, 444, 509]"
qG7Qv8b5JFA,160.0,170.0,"[248, 137]"
qG838pozAQA,20.0,30.0,"[418, 476, 437]"
qGEYSFq8VY4,290.0,300.0,[72]
rXAsNd0xH6s,80.0,90.0,"[0, 288, 3, 444]"
rXK8ohd1m5A,10.0,20.0,[426]
rXEWNtoa-9I,6.0,16.0,[137]
kXHb-mZ4YVU,180.0,190.0,[388]
kXCfFp7dF7A,70.0,80.0,"[137, 273]"
kXQDE8Jg2l8,30.0,40.0,"[0, 5]"
kXW1jr89sSQ,50.0,60.0,"[0, 388]"
kXKrnLRp69U,30.0,40.0,[488]
kXApHFgX2HQ,80.0,90.0,[388]
kX5bTiq5eBo,30.0,40.0,"[137, 27, 217]"
kX7chujFCrU,370.0,380.0,[501]
L0HS-VN9_qE,30.0,40.0,[499]
L0wBWDNZeJo,30.0,40.0,[354]
L0Fpb1V6VT4,20.0,30.0,[61]
L0-l1LIa22g,50.0,60.0,"[232, 137, 266, 228]"
lEvAQajbphM,30.0,40.0,"[0, 384]"
lEjMqpFRD2o,20.0,30.0,[15]
jHEBYrI8zHE,540.0,550.0,"[137, 234]"
jHoCBlthwKI,10.0,20.0,[137]
jH7BDWsU4zI,370.0,380.0,"[16, 481]"
jHioomjIhoE,30.0,40.0,[404]
tL52X_Ac4nU,0.0,10.0,[513]
tLtn6yh9qKQ,30.0,40.0,[72]
tLN31LP_-e8,230.0,240.0,"[137, 228]"
tLi6_zeZq3M,2.0,12.0,[298]
OUeRknySOOk,270.0,280.0,"[512, 137]"
OUSwUB9a_BI,30.0,40.0,"[288, 370, 444]"
OUG8Sg7R9XY,160.0,170.0,[518]
OUrEoopWODY,18.0,28.0,[473]
OUMu63Q6Ks8,30.0,40.0,"[137, 388]"
SFqGQ54WT9Y,130.0,140.0,"[137, 27, 260]"
SFJm4TVL-gE,230.0,240.0,"[288, 286]"
SFOBjWoQkjU,27.0,37.0,[513]
SFeGH1FEJVk,30.0,40.0,"[300, 343]"
SFEMv2R2KIA,150.0,160.0,"[0, 506, 3, 71]"
SFHoTmcgw8E,220.0,230.0,"[137, 278]"
3IWqNRbdksc,2.0,12.0,[444]
3IX3FxeKkQg,30.0,40.0,"[137, 254]"
3IaIfqq69nw,80.0,90.0,[137]
3IY2_fW2MrY,30.0,40.0,[482]
3IYd8cCmUkQ,60.0,70.0,"[137, 276]"
3IDT916yc_Q,530.0,540.0,"[0, 16, 137]"
3IE0_BP8CZ0,0.0,10.0,[137]
3IJDiioa338,0.0,10.0,"[137, 388]"
pTZ8JBVBBBk,0.0,10.0,[501]
pThJ6Ferm8E,20.0,30.0,[404]
pTRYm_peqGA,20.0,30.0,[300]
pTdNXlKX-EQ,10.0,20.0,[362]
pTzINk_nVHg,270.0,280.0,"[137, 511, 517, 463]"
vv_CMXf31cQ,20.0,30.0,[137]
vvi1hCoFAgo,20.0,30.0,"[8, 66, 69]"
vvYRYmiC30Q,30.0,40.0,"[137, 283]"
_BWzdtxpiCA,80.0,90.0,"[0, 375]"
_BETXRVC4bs,30.0,40.0,[366]
7lI4Z6_twLg,50.0,60.0,"[0, 22]"
7lewRHqq7zI,30.0,40.0,[137]
7lV4IvuW2lk,410.0,420.0,[137]
7lyqru6t1SQ,280.0,290.0,"[0, 300, 509]"
GF73K0K4LGk,30.0,40.0,"[137, 254]"
GFGwPa9d9XQ,30.0,40.0,"[280, 229, 137, 234, 216]"
GFBVvxZ5Dig,30.0,40.0,"[72, 137]"
GFhyThwu_Nk,530.0,540.0,[458]
GFckyWFDGL8,30.0,40.0,[72]
GFbSHWBjuuQ,30.0,40.0,[137]
GFhqFipJTOA,70.0,80.0,"[137, 498]"
GFBV97rw4S0,30.0,40.0,[469]
GFXidvqK2Do,0.0,10.0,[457]
GF2kFAuK4EI,10.0,20.0,"[0, 72]"
GFxmpuAS_fs,20.0,30.0,"[0, 494]"
GYMBIGTteWA,200.0,210.0,[72]
GYOHFaVFp3o,0.0,10.0,[426]
GYAIVjb6jlo,10.0,20.0,"[0, 137]"
DqEQgTviksM,10.0,20.0,[368]
Dqv8aWzOgmo,50.0,60.0,[72]
DquIIBo_nwk,170.0,180.0,"[0, 381]"
DqTWgefdYz8,90.0,100.0,"[0, 50]"
Dq29NSr8wDA,40.0,50.0,[72]
DqOo0Qol89o,40.0,50.0,"[300, 510]"
DqvZwo2qhIo,0.0,10.0,[404]
YLMV2r2ZQeM,30.0,40.0,"[137, 254]"
YLSlyK8-Bvo,30.0,40.0,"[137, 505, 239]"
YLlbLSNxdQ4,200.0,210.0,"[137, 491, 252]"
YL6LFjxNjiI,10.0,20.0,"[8, 137]"
YMKciM-oVeo,330.0,340.0,"[137, 228]"
YMOX56rEX6Q,20.0,30.0,[72]
YMqY9e4ZXB4,10.0,20.0,"[8, 66, 69]"
YMrF9YkALDE,8.0,18.0,[426]
YMG0foV0ZYk,60.0,70.0,[137]
YMHAc6ziM5A,30.0,40.0,[300]
PwPxCM9oxSw,0.0,10.0,"[137, 388]"
PwmXO0J-PAA,170.0,180.0,[265]
Pw2ssOcF9y0,80.0,90.0,"[288, 374]"
Pw2jHezP10s,410.0,420.0,[137]
PwkjQ4pSh20,180.0,190.0,[137]
PwcS8bhLtDo,30.0,40.0,[72]
PwyVufxwAos,120.0,130.0,[426]
u2UfBRL-7rE,30.0,40.0,"[72, 22]"
u2zQJI_e30k,10.0,20.0,"[288, 72]"
u2SsuEO69F8,30.0,40.0,"[0, 343]"
u2AaeUx5cMw,30.0,40.0,"[8, 66, 69]"
u2iXtdqZIz8,50.0,60.0,"[8, 66, 69]"
EDW6ZpCq6kc,80.0,90.0,"[137, 497]"
EDI1-nNDU60,40.0,50.0,[72]
EDmyVwdjkgU,30.0,40.0,"[137, 239]"
EDkZD_tucjk,200.0,210.0,[137]
4-euhrtcpXQ,260.0,270.0,"[256, 137]"
4-7xip9t_5M,70.0,80.0,[72]
4-MVa_JAapU,30.0,40.0,"[0, 513]"
RdKQGIzKZ_c,420.0,430.0,"[137, 511]"
Rd0igPw8Xoc,8.0,18.0,"[0, 288]"
RdQWZQqJuqo,20.0,30.0,[426]
dkaPAIFCE-c,40.0,50.0,"[0, 513, 510]"
dyNbC_W0W50,480.0,490.0,"[0, 61]"
dybarNq-Nmk,230.0,240.0,[513]
dy17oqEKlqQ,110.0,120.0,[137]
dyeyLMte3Jc,30.0,40.0,[72]
dySxke1W8k0,220.0,230.0,[72]
dyinc11sXpo,270.0,280.0,[437]
G16Tk0yfR0Q,7.0,17.0,"[0, 300, 341]"
G1zYc7B4m3E,210.0,220.0,[388]
G1dURV3JUXY,50.0,60.0,[72]
G12mV95lSGY,310.0,320.0,[72]
G1gm5FyHpw0,160.0,170.0,[67]
G18Nt0ZeEJQ,30.0,40.0,[137]
G13CgKfhE2s,30.0,40.0,[72]
G13NEVAm6-o,30.0,40.0,[137]
G1u1FiJeQN4,30.0,40.0,"[288, 374]"
G1ShDE6RHN8,9.0,19.0,[458]
2tjEckdpSW0,27.0,37.0,[72]
2tzmsEX6Jf8,40.0,50.0,[388]
2tFq2xVrceY,250.0,260.0,"[137, 27, 260]"
2tuCtiO7px0,160.0,170.0,[514]
2tfiDS7q4gE,490.0,500.0,"[364, 365]"
2t-2M-FoZkQ,0.0,10.0,"[0, 388]"
2tgqrxUIozQ,0.0,10.0,"[0, 388]"
2tgV8Eaz9-U,370.0,380.0,[50]
qlH9XG3Gbmo,0.0,10.0,"[0, 22]"
qlYhPNw7OiU,30.0,40.0,"[0, 137, 72]"
qlklggFvAZs,30.0,40.0,"[256, 137, 228]"
qlqJF5yPmUc,60.0,70.0,[137]
AxrZJAOUe5w,490.0,500.0,"[137, 426]"
AxSqsHVKgpc,0.0,10.0,[72]
AxMMB8fgXPI,20.0,30.0,"[0, 379]"
Axov9pRGK7s,30.0,40.0,"[388, 300]"
SuRykITj71Q,240.0,250.0,"[288, 370, 371]"
SulYa3RQW3A,80.0,90.0,"[0, 288, 444]"
qpyd-DlH5Zw,330.0,340.0,"[0, 72]"
qpN3Aqrr8mg,140.0,150.0,"[137, 252]"
qpYjBoelWT4,30.0,40.0,[72]
qp5IlCXSrU8,10.0,20.0,"[137, 266, 27]"
qphzdzbKB8w,30.0,40.0,"[0, 72]"
qpGTwFADjek,30.0,40.0,[137]
qp4Ubx7WOAQ,0.0,10.0,"[137, 219, 470]"
qp68fEMcAgM,310.0,320.0,[418]
qpVLafAN8Dk,20.0,30.0,[16]
qpOs6i2X_0I,30.0,40.0,"[0, 288]"
qpwjSTEaswI,90.0,100.0,"[216, 137, 497, 239]"
qpbHsLleMo8,0.0,10.0,"[137, 354, 507]"
Z9q39C0FxXs,230.0,240.0,[404]
Z9KIATVI1do,30.0,40.0,"[0, 71]"
Z9Eo6INrPW4,280.0,290.0,[248]
Z9J-QsBcZs8,90.0,100.0,"[483, 364, 484]"
Z9r6Ebo9EW0,11.0,21.0,[378]
t3zeNkXa0CM,290.0,300.0,"[0, 404, 388]"
t3Y9Za9roJM,30.0,40.0,[137]
t3w7iwpgmTw,300.0,310.0,[469]
t3MjlZCv_xY,160.0,170.0,[491]
t3758pixHZY,340.0,350.0,"[253, 239]"
t3m7FOXOLbY,360.0,370.0,[72]
t3-xANiQrho,320.0,330.0,[137]
c3QmxfOympg,50.0,60.0,[41]
c3CbTKKCquE,30.0,40.0,"[137, 27]"
c3gL0VfPZJg,280.0,290.0,"[137, 501]"
c39jYgsvUOY,150.0,160.0,"[0, 4]"
