video_id,start_time_seconds,end_time_seconds,labels
wqoOX8K8DEU,30.0,40.0,['Alarm']
wqH6Sj_h948,120.0,130.0,"['Speech', 'Glass']"
wq1098my4zA,130.0,140.0,"['Music', 'Singing', 'Lullaby']"
wqR7LHho-WE,10.0,20.0,"['Speech', 'Wail, moan', 'Crying, sobbing']"
wq6Me-UUbSc,360.0,370.0,['Mechanisms']
T9SfXoYuvpo,40.0,50.0,"['Shout', 'Cheering', 'Crowd']"
T9fk99yqwN4,110.0,120.0,['Music']
T9g_TdQejv8,30.0,40.0,"['Speech', 'Music', 'New-age music']"
T9VMZwKmO4A,30.0,40.0,"['Music', 'Electronic music']"
T9hK44Ki8_A,30.0,40.0,"['Music', 'Rock music']"
qGyGTzix_Nk,20.0,30.0,"['Speech', 'Music', 'Animal', 'Outside, rural or natural']"
qGA5zexuFY0,160.0,170.0,"['Speech', 'Liquid', 'Outside, urban or manmade']"
qG7Qv8b5JFA,160.0,170.0,"['Music of Latin America', 'Music']"
qG838pozAQA,20.0,30.0,"['Tools', 'Rub', 'Wood']"
qGEYSFq8VY4,290.0,300.0,['Animal']
rXAsNd0xH6s,80.0,90.0,"['Speech', 'Water', 'Child speech, kid speaking', 'Liquid']"
rXK8ohd1m5A,10.0,20.0,['Explosion']
rXEWNtoa-9I,6.0,16.0,['Music']
kXHb-mZ4YVU,180.0,190.0,['Alarm']
kXCfFp7dF7A,70.0,80.0,"['Music', 'Christmas music']"
kXQDE8Jg2l8,30.0,40.0,"['Speech', 'Narration, monologue']"
kXW1jr89sSQ,50.0,60.0,"['Speech', 'Alarm']"
kXKrnLRp69U,30.0,40.0,['Whir']
kXApHFgX2HQ,80.0,90.0,['Alarm']
kX5bTiq5eBo,30.0,40.0,"['Music', 'Singing', 'Hip hop music']"
kX7chujFCrU,370.0,380.0,['Sine wave']
L0HS-VN9_qE,30.0,40.0,['Crunch']
L0wBWDNZeJo,30.0,40.0,['Door']
L0Fpb1V6VT4,20.0,30.0,['Hands']
L0-l1LIa22g,50.0,60.0,"['Funk', 'Music', 'Song', 'Reggae']"
lEvAQajbphM,30.0,40.0,"['Speech', 'Typing']"
lEjMqpFRD2o,20.0,30.0,['Whispering']
jHEBYrI8zHE,540.0,550.0,"['Music', 'Middle Eastern music']"
jHoCBlthwKI,10.0,20.0,['Music']
jH7BDWsU4zI,370.0,380.0,"['Laughter', 'Beep, bleep']"
jHioomjIhoE,30.0,40.0,['Mechanisms']
tL52X_Ac4nU,0.0,10.0,['Noise']
tLtn6yh9qKQ,30.0,40.0,['Animal']
tLN31LP_-e8,230.0,240.0,"['Music', 'Reggae']"
tLi6_zeZq3M,2.0,12.0,['Fire']
OUeRknySOOk,270.0,280.0,"['Echo', 'Music']"
OUSwUB9a_BI,30.0,40.0,"['Water', 'Water tap, faucet', 'Liquid']"
OUG8Sg7R9XY,160.0,170.0,['Sidetone']
OUrEoopWODY,18.0,28.0,['Flap']
OUMu63Q6Ks8,30.0,40.0,"['Music', 'Alarm']"
SFqGQ54WT9Y,130.0,140.0,"['Music', 'Singing', 'Music of Asia']"
SFJm4TVL-gE,230.0,240.0,"['Water', 'Thunderstorm']"
SFOBjWoQkjU,27.0,37.0,['Noise']
SFeGH1FEJVk,30.0,40.0,"['Vehicle', 'Engine']"
SFEMv2R2KIA,150.0,160.0,"['Speech', 'Inside, small room', 'Child speech, kid speaking', 'Children playing']"
SFHoTmcgw8E,220.0,230.0,"['Music', 'Sad music']"
3IWqNRbdksc,2.0,12.0,['Liquid']
3IX3FxeKkQg,30.0,40.0,"['Music', 'Vocal music']"
3IaIfqq69nw,80.0,90.0,['Music']
3IY2_fW2MrY,30.0,40.0,['Ping']
3IYd8cCmUkQ,60.0,70.0,"['Music', 'Happy music']"
3IDT916yc_Q,530.0,540.0,"['Speech', 'Laughter', 'Music']"
3IE0_BP8CZ0,0.0,10.0,['Music']
3IJDiioa338,0.0,10.0,"['Music', 'Alarm']"
pTZ8JBVBBBk,0.0,10.0,['Sine wave']
pThJ6Ferm8E,20.0,30.0,['Mechanisms']
pTRYm_peqGA,20.0,30.0,['Vehicle']
pTdNXlKX-EQ,10.0,20.0,['Cupboard open or close']
pTzINk_nVHg,270.0,280.0,"['Music', 'Effects unit', 'Distortion', 'Reverberation']"
vv_CMXf31cQ,20.0,30.0,['Music']
vvi1hCoFAgo,20.0,30.0,"['Shout', 'Cheering', 'Crowd']"
vvYRYmiC30Q,30.0,40.0,"['Music', 'Wind']"
_BWzdtxpiCA,80.0,90.0,"['Speech', 'Toothbrush']"
_BETXRVC4bs,30.0,40.0,['Chopping (food)']
7lI4Z6_twLg,50.0,60.0,"['Speech', 'Crying, sobbing']"
7lewRHqq7zI,30.0,40.0,['Music']
7lV4IvuW2lk,410.0,420.0,['Music']
7lyqru6t1SQ,280.0,290.0,"['Speech', 'Vehicle', 'Outside, urban or manmade']"
GF73K0K4LGk,30.0,40.0,"['Music', 'Vocal music']"
GFGwPa9d9XQ,30.0,40.0,"['Country', 'Music', 'Middle Eastern music', 'Exciting music', 'Pop music']"
GFBVvxZ5Dig,30.0,40.0,"['Animal', 'Music']"
GFhyThwu_Nk,530.0,540.0,['Arrow']
GFckyWFDGL8,30.0,40.0,['Animal']
GFbSHWBjuuQ,30.0,40.0,['Music']
GFhqFipJTOA,70.0,80.0,"['Music', 'Boing']"
GFBV97rw4S0,30.0,40.0,"['Smash, crash']"
GFXidvqK2Do,0.0,10.0,['Sonar']
GF2kFAuK4EI,10.0,20.0,"['Speech', 'Animal']"
GFxmpuAS_fs,20.0,30.0,"['Speech', 'Plop']"
GYMBIGTteWA,200.0,210.0,['Animal']
GYOHFaVFp3o,0.0,10.0,['Explosion']
GYAIVjb6jlo,10.0,20.0,"['Speech', 'Music']"
DqEQgTviksM,10.0,20.0,['Microwave oven']
Dqv8aWzOgmo,50.0,60.0,['Animal']
DquIIBo_nwk,170.0,180.0,"['Speech', 'Scissors']"
DqTWgefdYz8,90.0,100.0,"['Speech', 'Sniff']"
Dq29NSr8wDA,40.0,50.0,['Animal']
DqOo0Qol89o,40.0,50.0,"['Vehicle', 'Outside, rural or natural']"
DqvZwo2qhIo,0.0,10.0,['Mechanisms']
YLMV2r2ZQeM,30.0,40.0,"['Music', 'Vocal music']"
YLSlyK8-Bvo,30.0,40.0,"['Music', 'Pulse', 'Electronic music']"
YLlbLSNxdQ4,200.0,210.0,"['Music', 'Clicking', 'Music for children']"
YL6LFjxNjiI,10.0,20.0,"['Shout', 'Music']"
YMKciM-oVeo,330.0,340.0,"['Music', 'Reggae']"
YMOX56rEX6Q,20.0,30.0,['Animal']
YMqY9e4ZXB4,10.0,20.0,"['Shout', 'Cheering', 'Crowd']"
YMrF9YkALDE,8.0,18.0,['Explosion']
YMG0foV0ZYk,60.0,70.0,['Music']
YMHAc6ziM5A,30.0,40.0,['Vehicle']
PwPxCM9oxSw,0.0,10.0,"['Music', 'Alarm']"
PwmXO0J-PAA,170.0,180.0,['Independent music']
Pw2ssOcF9y0,80.0,90.0,"['Water', 'Toilet flush']"
Pw2jHezP10s,410.0,420.0,['Music']
PwkjQ4pSh20,180.0,190.0,['Music']
PwcS8bhLtDo,30.0,40.0,['Animal']
PwyVufxwAos,120.0,130.0,['Explosion']
u2UfBRL-7rE,30.0,40.0,"['Animal', 'Crying, sobbing']"
u2zQJI_e30k,10.0,20.0,"['Water', 'Animal']"
u2SsuEO69F8,30.0,40.0,"['Speech', 'Engine']"
u2AaeUx5cMw,30.0,40.0,"['Shout', 'Cheering', 'Crowd']"
u2iXtdqZIz8,50.0,60.0,"['Shout', 'Cheering', 'Crowd']"
EDW6ZpCq6kc,80.0,90.0,"['Music', 'Zing']"
EDI1-nNDU60,40.0,50.0,['Animal']
EDmyVwdjkgU,30.0,40.0,"['Music', 'Electronic music']"
EDkZD_tucjk,200.0,210.0,['Music']
4-euhrtcpXQ,260.0,270.0,"['Music of Africa', 'Music']"
4-7xip9t_5M,70.0,80.0,['Animal']
